,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
1847,Casa,,Córdoba,Villa Rivera Indarte,Ricardo Rojas 7200,,,,,15,,3.0,4.0,2.0,,634,285,240000.0
1848,Casa,,Villa Allende,ote 12. San Isidro. 0,Mza 3 ,,,,,,,,,,,,,360000.0
1849,Casa,,Córdoba,órdoba,Miguel Lillo,,,,,10,,4.0,,0.0,,880,233,380000.0
1850,Casa,,San Antonio de Arredondo,San Antonio de Arredondo,Quintas de Inaudi,,,,,A estrenar,,4.0,5.0,3.0,,2860,480,475000.0
1851,Casa,,Punilla,Punilla,Patria,,,,,A estrenar,,3.0,2.0,0.0,,900,,370000.0
1852,Casa,,Córdoba,General Paz,:::INCREÍBLE OPORTUNIDAD CASA EN BARRIO GENERAL PAZ::: :::VENDO C,,,,,,,3.0,2.0,,,180,168,243000.0
1853,Casa,,Córdoba,Córdoba,Jardin Claret,,,,,10,,4.0,2.0,2.0,,406,220,305000.0
1854,Casa,,Córdoba,Las Margaritas,Herminio Malvino 2600,,,,,,,,,,,,,105000.0
1855,Casa,,Villa Carlos Paz,Villa Carlos Paz,AYACUCHO 111,,,,,1,,2.0,,,,80,100,80000.0
1856,Casa,,Córdoba,La Reserva,Miguel Lillo 100,,,,,,,3.0,3.0,,,297,193,280000.0
1857,Casa,,Santa María,Santa María,Villa Los Aromos - Soñada Casa 3 Cuadras del río,,,,,18,,3.0,,2.0,,700,145,155000.0
1858,Casa,,Córdoba,Altos de Manantiales,Altos de Manantiales,,,,,A estrenar,,3.0,3.0,2.0,,180,140,250000.0
1859,Casa,,Córdoba,Argüello,Arguello Huayna 7464,,,,,,,,,,,,,260000.0
1860,Casa,,La Calera,La Cuesta,La cuesta,,,,,En construcción,,3.0,3.0,2.0,,629,151,295000.0
1861,Casa,,Santa María,Santa María,Anisacate,,,,,A estrenar,,,2.0,,,800,,47680.0
1862,Casa,,Córdoba,Cerro de las Rosas,GERVASIO MENDEZ 2493,,,,,,,3.0,2.0,,,230,130,149000.0
1863,Casa,,San Francisco,San Francisco,,,,,,6,,3.0,,,,450,100,0.0
1864,Casa,,Córdoba,General Paz,General Paz Lima 2055,,,,,,,,,,,,,235000.0
1865,Casa,,Estancia Vieja,Estancia Vieja,Calle 75,,,,,1,,2.0,,2.0,,803,113,110000.0
1866,Casa,,Córdoba,Córdoba,La Cuesta Villa Residencial,,,,,En construcción,,3.0,2.0,0.0,,252,182,295000.0
1867,Casa,,La Calera,La Calera,MZA 237 000,,,,,4,,2.0,2.0,,,460,135,135000.0
1868,Casa,,calamuchita,calamuchita,Los Reartes,,,,,A estrenar,,0.0,0.0,0.0,,400,400,1200000.0
1869,Casa,,Córdoba,Argüello,Heriberto Martinez 6300,,,,,A estrenar,,2.0,2.0,0.0,,450,205,240000.0
1870,Casa,,Córdoba,Córdoba,Marcelino Tissera 4800,,,,,9,,3.0,2.0,,,400,220,220000.0
1871,Casa,,Punilla,Punilla,Zona Carlos Paz - Barrio Lago Azul,,,,,14,,3.0,2.0,,,732,223,200000.0
1872,Casa,,Córdoba,Córdoba,La Melinca Ruta Nº 5 Km 18 18,,,,,A estrenar,,3.0,2.0,,,174,174,190000.0
1873,Casa,,Otro,Otro,,,,,,25,,3.0,2.0,,,250,170,158000.0
1874,Casa,,Villa Allende,Villa Allende,,,,,,80,,5.0,5.0,,,26089,900,3000000.0
1875,Casa,,Alta Gracia,Córdoba,100,,,,,,,3.0,3.0,3.0,,243,243,250000.0
1876,Casa,,La Cumbre,La Cumbre,cruz grande 100,,,,,1,,2.0,2.0,,,700,150,220000.0
1877,Casa,,Córdoba,Valle Cercano,100,,,,,8,,3.0,,2.0,,250,170,120000.0
1878,Casa,,Villa Allende,ardin de Epicuro,Hilario Ascasubi 308,,,,,6,,2.0,,,,300,95,90000.0
1879,Casa,,Córdoba,Villa Belgrano,Tycho Brahe 4600,,,,,En construcción,,4.0,3.0,0.0,,190,173,215000.0
1880,Casa,,Villa Allende,Villa Allende,Sargento Cabral 300,,,,,A estrenar,,2.0,,,,486,121,90000.0
1881,Casa,,Otro,Otro,,,,,,30,,,,,,257,160,210000.0
1882,Casa,,Villa Allende,Villa Allende,Mendiolaza - Estancia Q2,,,,,A estrenar,,3.0,0.0,0.0,,1100,200,0.0
