,Tipo de Propiedad,Zona,Barrio,Tipo de Barrio,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Superficie Cubierta m2,Superficie Total m2,Zona_was_missing,Barrio_was_missing,Tipo de Barrio_was_missing,Cantidad de Dormitorios_was_missing,Cantidad de Baños_was_missing,Cantidad de Cocheras_was_missing,Superficie Cubierta m2_was_missing,Superficie Total m2_was_missing,Valor
2611,Casa,Central,Quinta Santa Ana,Abierto,3.0,2.0,0.0,130.0,175.0,False,False,False,False,False,True,False,False,115000.0
2612,Casa,Sur,Las Flores,Abierto,1.0,1.0,0.0,95.0,140.0,False,False,False,False,False,True,False,False,80000.0
2613,Casa,Sur,Las Flores,Abierto,2.0,1.0,0.0,95.0,140.0,False,False,False,False,False,True,False,False,95000.0
2614,Casa,Oeste,La Cuesta,Country,3.0,2.0,0.0,243.77723693847656,417.9294738769531,False,False,False,False,True,True,True,True,298000.0
2615,Casa,Oeste,Chateau Carreras,Abierto,4.0,3.0,1.0,200.0,360.0,False,False,False,False,False,False,False,False,205000.0
2616,Casa,Noroeste,Marqués de Sobremonte,Abierto,5.0,4.0,2.0,500.0,1400.0,False,False,False,False,False,False,False,False,360000.0
2617,Casa,Sudoeste,Matienzo,Abierto,3.0,2.0,0.0,139.57420349121094,257.0931091308594,False,False,False,False,True,True,True,True,75000.0
2618,Casa,Sur,Villa El Libertador,Abierto,3.0,2.0,0.0,129.57301330566406,225.6925048828125,False,False,False,False,True,True,True,True,55000.0
2619,Casa,Oeste,Las Cañitas,Cerrado,2.0,1.0,1.0,155.0,350.0,False,False,False,False,False,False,False,False,90000.0
2620,Casa,Oeste,La Cuesta,Country,3.0,3.0,1.0,240.0,820.0,False,False,False,False,False,False,False,False,340000.0
2621,Casa,Cerro-Argüello,Cerro de las Rosas,Abierto,3.0,3.0,1.0,395.0,1100.0,False,False,False,False,False,False,False,False,440000.0
2622,Casa,Oeste,Lomas de la Carolina,Country,4.0,4.0,0.0,410.0,1690.0,False,False,False,False,False,True,False,False,590000.0
2623,Casa,Oeste,Los Prados,Abierto,2.0,1.0,0.0,73.0,250.0,False,False,False,False,False,True,False,False,65000.0
2624,Casa,Cerro-Argüello,Granja de Funes,Abierto,3.0,2.0,1.0,185.0,540.0,False,False,False,False,False,False,False,False,220000.0
2625,Casa,Noroeste,San Salvador,Abierto,3.0,3.0,1.0,215.0,252.0,False,False,False,False,False,False,False,False,225000.0
2626,Casa,Central,Nueva Córdoba,Abierto,5.0,2.0,0.0,206.15316772460938,231.9955291748047,False,False,False,False,True,True,True,True,168000.0
2627,Casa,Sudeste,San Vicente,Abierto,2.0,1.0,1.0,113.6628189086914,257.0,False,False,False,False,False,False,True,False,80000.0
2628,Casa,Cerro-Argüello,Quintas de Argüello,Abierto,4.0,2.0,0.0,173.708740234375,269.4404296875,False,False,False,False,True,True,True,True,85000.0
2629,Casa,Noroeste,Altos de San Martín,Abierto,2.0,1.0,1.0,134.0,251.0,False,False,False,False,False,False,False,False,130000.0
2630,Casa,Sudoeste,Residencial Olivos,Abierto,2.0,2.0,0.0,117.1639175415039,232.53811645507812,False,False,False,False,True,True,True,True,130000.0
2631,Casa,Cerro-Argüello,Cuatro Hojas,Cerrado,3.0,2.0,0.0,249.84461975097656,496.2455749511719,False,False,False,False,True,True,True,True,395000.0
2632,Casa,Oeste,Chateau Carreras,Abierto,4.0,4.0,2.0,251.60462951660156,339.4695129394531,False,False,False,False,False,False,True,True,200000.0
2633,Casa,Cerro-Argüello,Centenario,Abierto,3.0,3.0,2.0,208.20669555664062,373.3524169921875,False,False,False,False,False,False,True,True,270000.0
2634,Casa,Cerro-Argüello,Golf,Abierto,5.0,2.0,0.0,292.26678466796875,596.4987182617188,False,False,False,False,True,True,True,True,450000.0
2635,Casa,Cerro-Argüello,Chacras de la Villa,Cerrado,5.0,3.0,1.0,330.0,1150.0,False,False,False,False,False,False,False,False,365000.0
2636,Duplex,Noroeste,Alto Verde,Abierto,3.0,3.0,1.0,108.0,120.0,False,False,False,False,False,False,False,False,140000.0
2637,Casa,Cerro-Argüello,Urca,Abierto,4.0,2.0,0.0,323.4349060058594,351.96746826171875,False,False,False,False,True,True,True,True,700000.0
2638,Casa,Cerro-Argüello,Urca,Abierto,3.0,3.0,2.0,213.0,330.0,False,False,False,False,False,False,False,False,280000.0
2639,Casa,Oeste,Alto Alberdi,Abierto,4.0,2.0,0.0,170.47750854492188,295.0780944824219,False,False,False,False,True,True,True,True,90000.0
2640,Casa,Norte,Otro,Abierto,3.0,2.0,0.0,158.1754150390625,269.37969970703125,True,True,True,False,True,True,True,True,160000.0
2641,Casa,Sudeste,Colón,Abierto,4.0,2.0,1.0,160.0,300.0,False,False,False,False,False,False,False,False,95000.0
2642,Casa,Sur,Ciudadela,Abierto,3.0,2.0,2.0,151.2874298095703,254.67538452148438,False,False,False,False,False,False,True,True,150000.0
2643,Casa,Cerro-Argüello,Villa Rivera Indarte,Abierto,3.0,2.0,2.0,158.1754150390625,269.37969970703125,False,False,False,False,False,False,True,True,160000.0
2644,Casa,Sur,Jardín Espinosa,Abierto,4.0,4.0,2.0,300.0,350.0,False,False,False,False,False,False,False,False,300000.0
2645,Casa,Cerro-Argüello,Villa Belgrano,Abierto,4.0,4.0,4.0,326.0,810.0,False,False,False,False,False,False,False,False,350000.0
2646,Duplex,Noroeste,Chacra del Norte,Con Seguridad,3.0,2.0,0.0,159.48306274414062,255.4993896484375,False,False,False,False,True,True,True,True,175000.0
2647,Casa,Noroeste,Sargento Cabral,Abierto,1.0,2.0,0.0,85.14042663574219,178.3379364013672,False,False,False,False,True,True,True,True,110000.0
2648,Casa,Sur,Colinas de Vélez Sársfield,Abierto,3.0,2.0,0.0,280.0,440.0,False,False,False,False,True,True,False,False,180000.0
2649,Casa,Cerro-Argüello,Argüello Norte,Abierto,2.0,2.0,3.0,190.0,616.0,False,False,False,False,False,False,False,False,130000.0
2650,Casa,Central,Providencia,Abierto,3.0,1.0,0.0,119.0,130.0,False,False,False,False,False,True,False,False,90000.0
2651,Casa,Noroeste,Chacra del Norte,Con Seguridad,3.0,2.0,0.0,160.41253662109375,284.3796691894531,False,False,False,False,True,True,True,True,195000.0
2652,Casa,Oeste,Las Delicias,Country,4.0,5.0,2.0,450.0,4500.0,False,False,False,False,False,False,False,False,790000.0
2653,Casa,Cerro-Argüello,Cerro de las Rosas,Abierto,4.0,2.0,0.0,212.07723999023438,376.009033203125,False,False,False,False,True,True,True,True,250000.0
2654,Casa,Oeste,Alto Alberdi,Abierto,3.0,2.0,0.0,145.14950561523438,231.66458129882812,False,False,False,False,True,True,True,True,125000.0
2655,Casa,Cerro-Argüello,Palmas de Claret,Cerrado,3.0,2.0,2.0,150.8302001953125,236.7398681640625,False,False,False,False,False,False,True,True,145000.0
2656,Casa,Sur,San Fernando,Abierto,1.0,1.0,1.0,49.0,54.0,False,False,False,False,False,False,False,False,81000.0
2657,Duplex,Noroeste,Chacra del Norte,Con Seguridad,3.0,3.0,2.0,180.0,180.0,False,False,False,False,False,False,False,False,205000.0
2658,Casa,Cerro-Argüello,Villa Belgrano,Abierto,3.0,2.0,2.0,120.0,250.0,False,False,False,False,False,False,False,False,220000.0
2659,Duplex,Sur,Claros del Bosque,Cerrado,3.0,3.0,1.0,174.0,180.0,False,False,False,False,False,False,False,False,210000.0
2660,Duplex,Cerro-Argüello,Villa Allende Parque,Abierto,3.0,2.0,1.0,120.0,180.0,False,False,False,False,False,False,False,False,215000.0
2661,Casa,Cerro-Argüello,Villa Belgrano,Abierto,3.0,3.0,2.0,290.0,722.0,False,False,False,False,False,False,False,False,260000.0
2662,Casa,Central,Providencia,Abierto,2.0,2.0,0.0,107.57191467285156,204.052978515625,False,False,False,False,True,True,True,True,75000.0
2663,Casa,Noroeste,Lomas de San Martín,Abierto,3.0,2.0,1.0,157.0,181.0,False,False,False,False,False,False,False,False,220000.0
2664,Casa,Oeste,Tejas III,Cerrado,2.0,2.0,2.0,405.0,150.0,False,False,False,False,False,False,False,False,196000.0
2665,Casa,Sur,Jardín Espinosa,Abierto,4.0,4.0,4.0,470.0,1192.0,False,False,False,False,False,False,False,False,590000.0
2666,Casa,Cerro-Argüello,San Isidro,Cerrado,3.0,3.0,2.0,320.0,900.0,False,False,False,False,False,False,False,False,360000.0
2667,Casa,Sudeste,Maipú Sección 1,Abierto,3.0,2.0,1.0,214.0,318.0,False,False,False,False,False,False,False,False,140000.0
2668,Casa,Este,General Pueyrredón,Abierto,2.0,2.0,0.0,101.2750244140625,190.90591430664062,False,False,False,False,True,True,True,True,65000.0
2669,Casa,Oeste,Las Cañitas,Cerrado,3.0,2.0,0.0,160.56861877441406,282.94561767578125,False,False,False,False,True,True,True,True,180000.0
2670,Casa,Cerro-Argüello,Cerro de las Rosas,Abierto,3.0,2.0,0.0,231.8205108642578,411.0180358886719,False,False,False,False,True,True,True,True,290000.0
2671,Casa,Oeste,Alto Alberdi,Abierto,3.0,2.0,3.0,140.5103759765625,500.0,False,False,False,False,False,False,True,False,105000.0
