,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
0,Duplex,,Córdoba,Claros del Bosque,Claros Del Bosque 5000,,,,,,2 Plantas,3 Dormitorios,3 Baños,1,Cubierta,180,160,185000
1,Duplex,Sur,Córdoba,Greenville 2,,Con Seguridad,,,,,,3 Dormitorios,,,,,,225000
2,Casa,,Villa Allende,La Herradura,01 1,Country,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,1592,400,380000
3,Casa,Norte,Córdoba,Villa Belgrano,,Abierto,Si,,,25 años,1 Planta,3 Dormitorios,4 Baños,2,Cubierta,1.200 mts2,446 mts2,420000
4,Casa,,Córdoba,Maipu Sección 2,Benjamin Igarzabal 1300,,,,,,,4 Dormitorios,4 Baños,2,Cubierta,350,316,250000
5,Casa,,Villa Allende,San Isidro,Consultar dirección,,,,,,,3 Dormitorios,3 Baños,,,1,1,620000
6,Casa,,Villa Carlos Paz,,Ayacucho esquina Colombia,,Si,,,,1 Planta,2 Dormitorios,2 Baños,3,,900,150,200000
7,Duplex,Sur,Córdoba,Claros del Bosque,,Con Seguridad,Si,,En Construcción,,1 Planta,2 Dormitorios,1 Baño,1,Cubierta,,125,
8,Casa,,Córdoba,Maipu Sección 2,Malaga 1900,,,,,,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,296,221,135000
9,Casa,,Córdoba,Siete Soles,,Cerrado,Si,,,,1 Planta,3 Dormitorios,,,,,213,
10,Casa,,Mendiolaza,,Consultar dirección,,,,,,,4 Dormitorios,4 Baños,,,1500,600,800000
11,Duplex,Sur,Córdoba,Claros del Bosque,Celso Barrios 3000,Con Seguridad,No,,,,2 Plantas,3 Dormitorios,3 Baños,3,,134,,
12,Duplex,Sur,Córdoba,,,Con Seguridad,No,,En Construcción,,2 Plantas,3 Dormitorios,2 Baños,1,,125,,145000
13,Casa,,Otra,,Altos De Chateu 100,,,,,,2 Plantas,4 Dormitorios,4 Baños,4,Cubierta,1500,500,780000
14,Duplex,Sur,Córdoba,Manantiales,,Con Seguridad,No,,,,2 Plantas,2 Dormitorios,2 Baños,1,Cubierta,120,,135000
15,Casa,,Córdoba,Arguello,Pablo Buitrago 6828,,Si,,Terminada,18 años,1 Planta,3 Dormitorios,1 Baño,1,Cubierta,435,185,125000
16,Casa,,Córdoba,General Paz,25 de Mayo 1930,,Si,,Terminada,,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,300,160,155000
17,Casa,Norte,Córdoba,Urca,Menendez Pidal  4067,Abierto,,,Terminada,37 años,2 Plantas,Más de 4 Dormitorios,4 Baños,2,Cubierta,306,264,240000
18,Casa,Norte,Córdoba,Urca,Betania 2942,Abierto,Si,,,,1 Planta,2 Dormitorios,1 Baño,2,,167,90,119000
19,Casa,Norte,Córdoba,Zumaran,diaz solis 2284,Abierto,,,,,,2 Dormitorios,,,,200,120,80000
20,Casa,,San Roque,,,,Si,,,,,2 Dormitorios,2 Baños,1,Cubierta,,,135000
21,Casa,,Córdoba,Parque Horizonte,Hawai 4359,,Si,,,35 años,1 Planta,2 Dormitorios,1 Baño,,,165,87,82000
22,Casa,Norte,Córdoba,Urca,Gimenez Pastor esq. Barros Pasos 1300,Abierto,Si,,Terminada,30 años,1 Planta,3 Dormitorios,4 Baños,2,Cubierta,,,190000
23,Casa,Sur,Córdoba,Claros del Bosque,celso barrios 3700,Cerrado,,,,,,3 Dormitorios,,,,180,150,170000
24,Casa,Sur,Córdoba,Solares de Santa María,,Con Seguridad,,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,3,Cubierta,440,243,250000
25,Duplex,Sur,Córdoba,Matienzo,Los Nogales  4100,Abierto,Si,,Terminada,2 años,2 Plantas,3 Dormitorios,2 Baños,1,Semidescubierta,150,100,75000
26,Duplex,,Córdoba,,,,,,Terminada,50 Años,1 Planta,2 Dormitorios,1 Baño,1,,130,70,2000000
27,Casa,Sur,Córdoba,,Cno. San Antonio,Abierto,,,Terminada,13 años,2 Plantas,2 Dormitorios,2 Baños,1,Cubierta,2500,,250000
28,Casa,,Córdoba,Los Paraisos,Arquimedes   2801,Abierto,Si,,Terminada,40 años,,3 Dormitorios,1 Baño,1,,200,180,
29,Casa,,Córdoba,,Ramon Ocampo 1900,,,,,,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,250,130,100000
30,Casa,,La Calera,La Cuesta,country la cuesta,Country,Si,,,,1 Planta,3 Dormitorios,3 Baños,2,Semidescubierta,1480,268,320000
31,Duplex,Norte,Córdoba,,Manuel Quintana 1060,Con Seguridad,Si,,En Construcción,,2 Plantas,2 Dormitorios,2 Baños,1,Semidescubierta,,,250000
32,Casa,Norte,Córdoba,Chacra del Norte,spilimbergo y circunvalación,Con Seguridad,No,,,,2 Plantas,3 Dormitorios,3 Baños,2,Semidescubierta,180,155,180000
33,Casa,,La Calera,La Rufina, la rufina 1111,Country,Si,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,2,Semidescubierta,900,330,450000
34,Duplex,,La Calera,,Ejercito Argentino 500,,,,,,3 Plantas,3 Dormitorios,2 Baños,1,Cubierta,140,140,135000
35,Duplex,,Córdoba,,Miradores De Manantiales 100,,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,123,125,210000
36,Casa,Norte,Córdoba,Villa Warcalde,el bosque,Country,Si,,Terminada,10 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,1500,300,400000
37,Casa,,Córdoba,Jardín,Rafael Sanzio 700,,,,,,,3 Dormitorios,1 Baño,1,,250,135,7003250135590003
38,Casa,Norte,Córdoba,Valle Escondido,Av. República de China,Cerrado,No,,,,2 Plantas,2 Dormitorios,2 Baños,1,Semidescubierta,226,141,
39,Casa,,Córdoba,Alta Córdoba,Baigorri 500,,Si,,,,,4 Dormitorios,,,,232,212,280000
40,Casa,,Córdoba,Comarca de Allende,,Con Seguridad,Si,,En Construcción,,1 Planta,2 Dormitorios,2 Baños,2,,360,130,165000
41,Duplex,Norte,Córdoba,Chacra del Norte,Spilimbergo y Circunvalación,Con Seguridad,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,180,175,220000
42,Casa,Sur,Córdoba,Altos de Manantales, X5016OEA Av. de Circunvalación Agustin Tosco,Con Seguridad,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,360,190,
43,Duplex,,La Calera,El Rodeo,,Cerrado,No,,,,2 Plantas,3 Dormitorios,3 Baños,1,Cubierta,,,205000
44,Casa,,Villa Allende,Golf,toledo esq venecia,Abierto,Si,,,,2 Plantas,4 Dormitorios,4 Baños,2,Cubierta,650,230,246000
45,Casa,,Córdoba,Nueva Córdoba,boulevard chacabuco 700,,Si,,,,,2 Dormitorios,,,,,,124000
46,Casa,Norte,Córdoba,Valle Escondido,Av Republica de China,Cerrado,Si,,Terminada,13 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,600,248,
47,Casa,,Córdoba,Ayres del Sur,principal 66,,,,,,,2 Dormitorios,2 Baños,,,540,130,95
48,Casa,,Cosquín,,PEDRO ORTIZ 1082,Abierto,,,,,,2 Dormitorios,,,,,,
49,Casa,Centro,Córdoba,Alto Alberdi,Angel Avalos 500,,Si,,Terminada,,1 Planta,3 Dormitorios,2 Baños,4,Cubierta,290,180,110000
50,Casa,,Córdoba,Otro,"Country del Jockey Club, Celso Barrios 1600",Country,Si,,En Construcción,Nuevo,2 Plantas,3 Dormitorios,Más de 4 Baños,4,Cubierta,1000,480,440000
51,Casa,,Villa Ciudad de América,,,Abierto,Si,,,50 años,2 Plantas,Más de 4 Dormitorios,Más de 4 Baños,2,Cubierta,8000,500,250000
52,Casa,Centro,Córdoba,Nueva Córdoba,CRISOL 50,Abierto,Si,,Terminada,20 años,1 Planta,2 Dormitorios,1 Baño,,,,,85000
53,Casa,Sur,Córdoba,Otro,RIO NEGRO  4000,Abierto,Si,,Terminada,,1 Planta,3 Dormitorios,2 Baños,1,,300,,160000
54,Duplex,Sur,Córdoba,Manantiales,,Abierto,,,En Construcción,,2 Plantas,3 Dormitorios,2 Baños,1,,125,100,140000
55,Duplex,Sur,Córdoba,Claros del Bosque,Celso Barrios 3609,Cerrado,,,,,1 Planta,2 Dormitorios,1 Baño,1,Semidescubierta,180,115,130000
56,Duplex,Norte,Córdoba,Palmas de Claret,"Palmas Del Claret, Pan De Azucar 1500",Cerrado,Si,,,,2 Plantas,2 Dormitorios,2 Baños,,,,,83000
57,Casa,Norte,Córdoba,Villa Warcalde,av los alamos,Country,Si,,Terminada,,1 Planta,3 Dormitorios,3 Baños,2,Cubierta,,,280000
58,Casa,,Córdoba,Valle Escondido,,Cerrado,Si,,Terminada,9 años,2 Plantas,4 Dormitorios,3 Baños,4,Cubierta,750,287,440000
59,Casa,,Córdoba,Valle Escondido,,Cerrado,Si,,Terminada,13 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,600,247,350000
60,Casa,Centro,Córdoba,Cofico,Liniers 819,Con Seguridad,,,Terminada,,2 Plantas,4 Dormitorios,4 Baños,1,,200,270,210000
61,Casa,Centro,Córdoba,General Paz,PASAJE LITUANIA 1951,Abierto,Si,,,,1 Planta,2 Dormitorios,1 Baño,,,140,90,55000
62,Casa,Norte,Córdoba,Urca,Gabriel Real de Azua  3700,Abierto,Si,,Terminada,,2 Plantas,4 Dormitorios,3 Baños,4,Cubierta,360,700,360000
63,Casa,,Córdoba,,Valparaiso 6500,,,,,6 años,1 Planta,3 Dormitorios,2 Baños,1,,1500,250,340000
64,Casa,,Córdoba,Alto Verde,LA RAMADA 3873,,,,Terminada,,1 Planta,3 Dormitorios,2 Baños,,,408,200,130000
65,Casa,,Córdoba,Los Platanos,EDUARDO MALDONADO 1257,,,,,,,2 Dormitorios,,,,,,
66,Casa,Norte,Córdoba,Ayacucho,JUSTO ARGÜELLO 1600,Abierto,Si,,,50 años,1 Planta,2 Dormitorios,2 Baños,2,Cubierta,250 m2,165 m2,
67,Casa,Norte,Córdoba,Villa Cabrera,Ricardo Pedroni 1900,Abierto,Si,,,45 años,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,590,140,150000
68,Casa,Norte,Córdoba,Villa Belgrano,Fernando Braun 4867,Abierto,Si,,,18 años,2 Plantas,4 Dormitorios,3 Baños,1,Cubierta,850,420,380000
69,Casa,Norte,Córdoba,Villa Belgrano,,Abierto,Si,,,22 años,,3 Dormitorios,,,,,,240000
70,Casa,,Córdoba,Cañuelas,Juan Romualdo Baez 1500,,No,,,,1 Planta,3 Dormitorios,Más de 4 Baños,3,,1540,400,890000
71,Casa,,Malagueño,,VALLE DEL GOF RUTA C45 KM 2  22,Country,,,Terminada,4 años ,2 Plantas,4 Dormitorios,3 Baños,3,Cubierta,850,350 ,
72,Casa,Norte,Córdoba,Cerro de las Rosas,,Abierto,,,Terminada,6 años,2 Plantas,4 Dormitorios,Más de 4 Baños,3,Cubierta,1000,640,
73,Casa,,Villa Allende,Condor Alto,capital federal 900,Abierto,Si,,Terminada,,2 Plantas,3 Dormitorios,4 Baños,1,Cubierta,2400,350,300000
74,Casa,Norte,Córdoba,,Nolasco 7245,Cerrado,,,Terminada,17 años,1 Planta,3 Dormitorios,2 Baños,1,,750,200,225000
75,Casa,Centro,Córdoba,Cofico,Liniers 819,Con Seguridad,,,Terminada,,2 Plantas,4 Dormitorios,4 Baños,1,,200,270,210000
76,Casa,,La Calera,La Cuesta,,Cerrado,Si,,Terminada,2 años,2 Plantas,3 Dormitorios,2 Baños,1,,,130,220000
77,Casa,,La Calera,El Bosque,Av. los alamos,,,,,14 años,2 Plantas,4 Dormitorios,4 Baños,1,,2279,498,
78,Casa,Este,Córdoba,Lomas de la Carolina,Av. Ejército Argentino 9500,Country,,,Terminada,18 años,2 Plantas,4 Dormitorios,,2,Cubierta,1500,390,475000
79,Casa,,La Calera,La Rufina,Av. Los alamos  1111,Cerrado,Si,,Terminada,10 años,2 Plantas,3 Dormitorios,4 Baños,2,Cubierta,870,260,
80,Casa,,Córdoba,Alt. de San Martín,CEFERINO DE LA LASTRA 100,Abierto,Si,,,30 años,2 Plantas,4 Dormitorios,4 Baños,2,Cubierta,,234,330000
81,Casa,Sur,Córdoba,Jardín Espinosa,Santa Marta,,,,Terminada,22 Años,2 Plantas,4 Dormitorios,Más de 4 Baños,2,Semidescubierta,621,560,460000
82,Casa,,Córdoba,Escobar,Andres Lamas 2436,,,,,,1 Planta,3 Dormitorios,1 Baño,,,130,80,58000
83,Casa,,Malagueño,,VALLE DEL GOF RUTA C45 KM 2  22,Country,,,Terminada,4 años ,2 Plantas,4 Dormitorios,3 Baños,3,Cubierta,850,350 ,
84,Casa,,Córdoba,Pque. Montecristo,OSCARIZ BEAUMONT 1700,,,,,,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,359,,80000
85,Casa,Norte,Córdoba,Miradores de Manantiales,,Con Seguridad,,,,,2 Plantas,3 Dormitorios,3 Baños,1,Semidescubierta,121,125,153000
86,Casa,Oeste,Córdoba,Palermo Bajo,BETANIA 2942,Abierto,,,,,2 Plantas,2 Dormitorios,2 Baños,1,,90,90,115000
87,Casa,,Córdoba,La Reserva,,Cerrado,,,Terminada,,2 Plantas,3 Dormitorios,,,,880,235,
88,Casa,,Córdoba,Las Delicias,"Las Delicias, Av. Ejército Argentino 1067 1000",Country,Si,,Terminada,18 años,2 Plantas,4 Dormitorios,3 Baños,4,,1900,410,600000
89,Casa,Sur,Córdoba,Jardín Espinosa,Inca Manco,,,,Terminada,30 Años,2 Plantas,4 Dormitorios,2 Baños,,,360,248,310000
90,Casa,,Córdoba,,,,,,Terminada,2001 años,1 Planta,2 Dormitorios,1 Baño,1,Semidescubierta,260,138,110000
91,Casa,,Villa Allende,,Villa Allende Golf 100,Abierto,Si,,Terminada,26 años,2 Plantas,3 Dormitorios,3 Baños,4,Semidescubierta,2430,,445000
92,Casa,,Mendiolaza,Otro,,Cerrado,,,En Construcción,,2 Plantas,2 Dormitorios,1 Baño,,,1060,90,125000
93,Casa,,Córdoba,Quebrada de las Rosas,Yavi 5400,Abierto,,,,,2 Plantas,3 Dormitorios,4 Baños,2,,360,250,260000
94,Casa,,Córdoba,Amp. Pueyrredón,,,Si,,,,,Más de 4 Dormitorios,,,,,,
95,Casa,,Villa Allende,Chacras de la Villa,Luchesse 5,Country,Si,,Terminada,8 años,1 Planta,4 Dormitorios,4 Baños,2,Cubierta,1000,360,365000
96,Casa,Sur,Córdoba,Greenville 2,Camino San Carlos 7100,Con Seguridad,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Semidescubierta,180,150,
97,Casa,,Córdoba,,,,,,,,1 Planta,3 Dormitorios,,2,Cubierta,,,
98,Casa,Norte,Córdoba,Ayacucho,Francisco Toledo 1658,Abierto,Si,,,30 años,2 Plantas,4 Dormitorios,4 Baños,1,Cubierta,296,304,170000
99,Casa,,Córdoba,Escobar,,,Si,,,,,4 Dormitorios,,,,,,280000
100,Casa Quinta,,La Cumbre,,,,Si,,,,,Más de 4 Dormitorios,,,,,,
101,Casa,,Córdoba,Valle Escondido,,,Si,,Terminada,8 años,2 Plantas,3 Dormitorios,2 Baños,2,Cubierta,600,170,290000
102,Casa,,Córdoba,Horizonte,,,,,,,,2 Dormitorios,,,,,,100000
103,Casa,Sur,Córdoba,Jardín,Talleres,,Si,,Terminada,1972 / Remodelada hace 10 años ,1 Planta,2 Dormitorios,2 Baños,2,Cubierta,363,180,260000
104,Casa,Sur,Córdoba,,,Country,,,,,,3 Dormitorios,,,,,,450000
105,Casa,,Mendiolaza,Cuatro Hojas,4 Hojas 100,Country,Si,,Terminada,14 años,2 Plantas,4 Dormitorios,4 Baños,3,Cubierta,1065,270,279900
106,Duplex,,Córdoba,Arguello,Av Recta Martinolli 8300,,,,,10 años,2 Plantas,3 Dormitorios,2 Baños,1,,,,175000
107,Casa,,Córdoba,Claros del Bosque,,Cerrado,,,,,1 Planta,2 Dormitorios,1 Baño,1,Cubierta,180,120,120000
108,Casa,,Córdoba,General Paz,felix frias 226,,,,,,,2 Dormitorios,,,,,,170000
109,Casa,,Río Ceballos,Villa Catalina,Ruta E53 100,,,,,,1 Planta,3 Dormitorios,2 Baños,2,Cubierta,475,185,180000
110,Casa,Sur,Córdoba,Fincas del Sur II,,,,,,,,3 Dormitorios,,,,,,
111,Casa,,La Calera,Cuesta Colorada,,Abierto,Si,,,,2 Plantas,2 Dormitorios,2 Baños,1,,912,130,123000
112,Casa,Norte,Córdoba,Altos del Chateau,ALTOS DEL CHATEUA 1,Country,Si,,Terminada,2 años,2 Plantas,4 Dormitorios,Más de 4 Baños,4,Cubierta,1500,500,
113,Duplex,,Villa Allende,Lomas Este,Pernambuco 675,Cerrado,,,Terminada,5 años,2 Plantas,2 Dormitorios,2 Baños,2,Semidescubierta,245,80,90000
114,Casa,Norte,Córdoba,,Suarez de figueroa 360,Abierto,Si,,,,,3 Dormitorios,,,,,,190000
115,Casa,,Córdoba,Tejas 3,,Cerrado,No,,Terminada,5 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,500,180,220000
116,Casa,Norte,Córdoba,Santina Norte,Av Republica de China,Country,No,,,,,3 Dormitorios,,,,,,
117,Casa,Norte,Córdoba,Altos del Chateau,ALTOS DEL CHATEUA 1,Country,Si,,Terminada,2 años,2 Plantas,4 Dormitorios,Más de 4 Baños,4,Cubierta,1500,500,
118,Casa,,Córdoba,Tejas 3,Tejas Tres 100,Cerrado,Si,,Terminada,6 años,2 Plantas,3 Dormitorios,4 Baños,2,Cubierta,206,152,260000
119,Casa,,Córdoba,Villa Warcalde,,,,,Terminada,,1 Planta,2 Dormitorios,2 Baños,2,Semidescubierta,440,130,175000
120,Casa,,Villa Allende,Centro de Villa Allende,Saavedra 200,Abierto,Si,,Terminada,,,4 Dormitorios,,,,1112,160,200000
121,Casa,,Córdoba,Maipu Sección 1,extremadura 2322,,,,,,,2 Dormitorios,,,,,,
122,Casa,,Córdoba,LOS MIMBRES ,,Con Seguridad,,,Terminada,2010 años,1 Planta,3 Dormitorios,2 Baños,,,1500,250,340000
123,Duplex,Sur,Córdoba,Miradores de Manantiales,,Con Seguridad,,,En Construcción,,2 Plantas,3 Dormitorios,2 Baños,1,Semidescubierta,125,124,145000
124,Casa,,Córdoba,,,Country,,,Terminada,2 Años ,Más de 3 Plantas,3 Dormitorios,Más de 4 Baños,3,,,,1300000
125,Casa,,Córdoba,Colinas de V. Sarsfield,,,,,Terminada,49 Años,1 Planta,3 Dormitorios,2 Baños,2,,277,150,170000
126,Casa,,Córdoba,Valle Escondido,los aromas 1,,,,,6 años,2 Plantas,3 Dormitorios,2 Baños,1,,340,170,255000
127,Casa,Sur,Córdoba,Res. San Carlos,Azul 2240,Abierto,Si,,Terminada,29 años,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,300,151,
128,Casa,,Córdoba,Tejas del Sur I,,Con Seguridad,,,Terminada,18 Años,2 Plantas,3 Dormitorios,2 Baños,2,Cubierta,300,200,300000
129,Duplex,,Córdoba,La Paya II,,Con Seguridad,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Semidescubierta,125,110,167000
130,Casa,,Córdoba,Tranviarios,Nestor López,,,,,15 años,2 Plantas,3 Dormitorios,3 Baños,1,,400,,
131,Casa,Centro,Córdoba,General Paz,Asuncion 300,Abierto,,,,,,3 Dormitorios,,,,,,230000
132,Casa,,Villa Allende,San Alfonso,av. Agrim E Bodereau 5100,Cerrado,,,Terminada,13 años,1 Planta,4 Dormitorios,3 Baños,2,Semidescubierta,503,180,245000
133,Casa,,Córdoba,Valle Escondido,,Cerrado,Si,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,700,278,
134,Casa,,Córdoba,Pque. Velez Sarsfield,,Abierto,,,,,,2 Dormitorios,,,,250,95,120000
135,Casa,,Villa Allende,Comarca de Allende,,Cerrado,Si,,,,,3 Dormitorios,,,,,,155000
136,Casa,,Córdoba,Urca,Av. Costanera Mestre  esquina,,,,,6 años,2 Plantas,4 Dormitorios,4 Baños,1,,869,320,320000
137,Casa,Norte,Córdoba,,,,,,,,,3 Dormitorios,,,,250,165,210000
138,Casa,,Córdoba,Villa Belgrano,Alejandro Volta 5280,,,,,12 años,2 Plantas,3 Dormitorios,3 Baños,1,,170,180,210000
139,Casa,,Córdoba,Santina Norte,República China 1400,Cerrado,,,,15 años,2 Plantas,,4 Baños,1,,600,330,390000
140,Casa,,Río Ceballos,Villa Catalina,RUTA E 53 VILLA CATALINA,,,,,,1 Planta,2 Dormitorios,2 Baños,1,,476,120,125000
141,Casa,Norte,Córdoba,Villa Allende Parque,,Abierto,,,Terminada,22 años,2 Plantas,3 Dormitorios,2 Baños,4,Cubierta,910,150,158000
142,Casa,,Córdoba,Res. Velez Sarfield,Gustavo Brandan 924,,,,,15 años,2 Plantas,4 Dormitorios,4 Baños,1,,243,211,
143,Casa,,Córdoba,Lomas de la Carolina,LOMAS DE LA CAROLINA,,,,,,1 Planta,4 Dormitorios,3 Baños,1,,1500,290,390000
144,Casa,,La Falda,,9 de Julio 1188,Abierto,Si,,Terminada,48 años,1 Planta,3 Dormitorios,4 Baños,1,Cubierta,800,200,185000
145,Casa,Norte,Córdoba,Urca,JOSE PILLADO 1200,Abierto,Si,,,10 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,300,200,240000
146,Casa,Norte,Córdoba,Las Delicias,Av. Ejercito Argentino  1067,Country,Si,,Terminada,,3 Plantas,3 Dormitorios,Más de 4 Baños,2,Cubierta,1850,506,520000
147,Casa,,Córdoba,Jardín,Av. Nores Martínez 3061,,,,Terminada,,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,400,220,250000
148,Duplex,Norte,Córdoba,Poeta Lugones,CORTAZAR 4000,Abierto,Si,,Terminada,5 años,2 Plantas,3 Dormitorios,3 Baños,1,Cubierta,180,130,135000
149,Casa,,Córdoba,Cañuelas,Juan Romualdo Bàez 5500,,Si,,,7 años,2 Plantas,3 Dormitorios,4 Baños,1,,1500,400,650000
150,Casa,Sur,Córdoba,Claros del Bosque,Celso Barrios 3609,Cerrado,Si,,,5 años,2 Plantas,4 Dormitorios,3 Baños,2,Cubierta,360,320,340000
151,Casa,,Córdoba,Cofico,Bedoya 500,,,,,,,2 Dormitorios,,,,,,108000
152,Casa,,Córdoba,Tejas del Sur II,Tejas Del Sur Ii 100,,,,,,,3 Dormitorios,3 Baños,,,,312,340000
153,Casa,,Toledo,,11 DE SEPTIEMBRE  12250,,,,,,,Más de 4 Dormitorios,,,,,,70000
154,Casa,,Córdoba,Fortín del Pozo,,Cerrado,,,Terminada,2000 años,1 Planta,3 Dormitorios,3 Baños,2,,2200,380,520000
155,Casa,,Villa Allende,Comarca de Allende, Luchesse 1000,Con Seguridad,Si,,,,,2 Dormitorios,,,,,,60000
156,Casa,,Córdoba,,11 DE SEPTIEMBRE  12250,,,,,,,Más de 4 Dormitorios,,,,10000,400,70000
157,Casa,,Córdoba,Valle Escondido,,Cerrado,Si,,,2 años,,3 Dormitorios,,,,,,350000
158,Casa,,La Calera,El Bosque,,Country,Si,,Terminada,,2 Plantas,3 Dormitorios,4 Baños,2,Cubierta,1500,280,470000
159,Casa,Norte,Córdoba,Urca,José Otero 859,Abierto,Si,,Terminada,09 Años,2 Plantas,3 Dormitorios,4 Baños,2,Cubierta,869,320,330000
160,Casa,Sur,Córdoba,Altos de V. Sarsfield,Dr Horacio Martinez 3706,Abierto,Si,,Terminada,56 años,1 Planta,3 Dormitorios,1 Baño,1,,250,160,110000
161,Casa,Sur,Córdoba,Res. Velez Sarfield,Lázaro Langer  735,Abierto,Si,,Terminada,17 años,2 Plantas,3 Dormitorios,2 Baños,1,,121 m 2,121 m 2 ,140000
162,Casa,Norte,Córdoba,Chacra del Norte,av circunvalación y spilimbergo,Con Seguridad,No,,,1 año,2 Plantas,3 Dormitorios,3 Baños,2,Semidescubierta,180,170,175000
163,Casa,,Córdoba,Tablada Park,Cesareo de Quiros 2523,,,,,29 años,,4 Dormitorios,2 Baños,2,,306,212,220000
164,Casa,,Córdoba,Quebrada de las Rosas,La tablada 5748,Abierto,Si,,Terminada,10 años,2 Plantas,3 Dormitorios,1 Baño,1,,125,93,91000
165,Casa,,Córdoba,Crisol Sud,Terragona 1496,,,,,30 años,1 Planta,3 Dormitorios,1 Baño,1,,,,130000
166,Casa,Norte,Córdoba,Cerro de las Rosas,Tristan Malbran 3900,Abierto,Si,,Terminada,90 años,2 Plantas,3 Dormitorios,Más de 4 Baños,1,Cubierta,2000,370,
167,Duplex,Sur,Córdoba,Matienzo,LOS NOGALES 4100,Abierto,,,Terminada,2 años,2 Plantas,2 Dormitorios,2 Baños,1,Semidescubierta,150,74,75000
168,Casa,Norte,Córdoba,Barrancas Norte,Barrancas Norte,Country,Si,,Terminada,10 años,3 Plantas,Más de 4 Dormitorios,Más de 4 Baños,3,Cubierta,1200,650,
169,Casa,Norte,Córdoba,San Isidro,,Cerrado,,,Terminada,,2 Plantas,3 Dormitorios,4 Baños,,,1280,450,490000
170,Casa,,Córdoba,Urca,,Abierto,Si,,Terminada,,2 Plantas,3 Dormitorios,3 Baños,3,Cubierta,820,450,
171,Casa,,Mendiolaza,Estancia Q2,Estancia Q2 1,,,,,3 años,2 Plantas,2 Dormitorios,2 Baños,,,1000,,
172,Casa,,Córdoba,Liceo General Paz,JOSE HERNANDEZ 4842,Abierto,Si,,Terminada,,1 Planta,3 Dormitorios,2 Baños,2,Cubierta,350,212,140000
173,Casa,,Córdoba,Santina Norte,Los Aromas,Cerrado,,,,,2 Plantas,3 Dormitorios,4 Baños,1,,360,325,300000
174,Casa,Norte,Córdoba,Jardín Claret,JARDIN CLARET 1,Cerrado,Si,,Terminada,8 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,400,200,
175,Casa,Norte,Córdoba,Arguello,DOMINGO ALBARIÑOS,Abierto,Si,,,10 años,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,834,335,350000
176,Casa,Norte,Córdoba,Valle Escondido,Republica china ,,,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,,,
177,Casa,,Córdoba,Valle Escondido,Los Arboles,,,,,6 años,2 Plantas,2 Dormitorios,2 Baños,1,,1042,132,200000
178,Casa,,Córdoba,Villa Belgrano,,Abierto,,,En Construcción,15 años,2 Plantas,3 Dormitorios,4 Baños,2,Cubierta,800,300,270000
179,Duplex,,La Calera,,,Abierto,,,Terminada,,2 Plantas,2 Dormitorios,2 Baños,1,Cubierta,140,79,70000
180,Casa,,Córdoba,Lomas de la Carolina,Lomas de la Carolina,Cerrado,,,,,2 Plantas,3 Dormitorios,,1,,3000,898,1400000
181,Casa,,Córdoba,Lomas de la Carolina,Lomas de la Carolina,Cerrado,,,,15 años,2 Plantas,3 Dormitorios,4 Baños,1,,1500,383,590000
182,Casa,Norte,Córdoba,Alta Córdoba,LAVALLEJA 1900,Abierto,Si,,,30 años,,3 Dormitorios,,,,,,
183,Casa,,Córdoba,,Av. Los Álamos 1,Cerrado,,,,15 años,2 Plantas,3 Dormitorios,4 Baños,,,1500,430,600000
184,Casa,Sur,Córdoba,Manantiales,Miradores de Manantiales 5,Con Seguridad,,,En Construcción,,2 Plantas,3 Dormitorios,2 Baños,1,Semidescubierta,125,130,80000
185,Casa,,Córdoba,Villa Warcalde,los alamos  1111,Cerrado,Si,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,604.5,255.73,
