,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
3288,Casa,Sur,Córdoba,Jardín,Manco Capac 3125,Abierto,,,,,,3 Dormitorios,,,,,,160000
3289,Duplex,,Córdoba,Chacra del Norte,,,,,,A Estrenar,2 Plantas,3 Dormitorios,3 Baños,,,,150,185000
3290,Casa,Oeste,Córdoba,,Bonn 5300,Abierto,,,,,,,,,,,,
3291,Casa,Oeste,Córdoba,Matienzo,URITORCO,Abierto,Si,,,,,3 Dormitorios,,,,,,100000
3292,Casa,,Villa Allende,San Isidro,Padre Luchesse,Country,Si,,,10 años,1 Planta,3 Dormitorios,3 Baños,,Cubierta,1250,265,300000
3293,Duplex,,Córdoba,Nuevo Poeta Lugones,,,,,,A Estrenar,2 Plantas,3 Dormitorios,3 Baños,2,,180,183,200000
3294,Casa,,Villa Allende,San Isidro,LUCHESSE,Country,,,,,,3 Dormitorios,,,,,,300000
3295,Casa,Oeste,Córdoba,Los Robles,Francisco de Bengolea 308,,,,,,,3 Dormitorios,,,,,,85000
3296,Casa,,Villa Carlos Paz,,Villa Lago azul,Con Seguridad,,,,,2 Plantas,3 Dormitorios,3 Baños,1,,1050,232,215000
3297,Casa,,Villa Allende,,,Cerrado,Si,,,,2 Plantas,3 Dormitorios,3 Baños,2,Cubierta,362,175,215000
3298,Casa,Norte,Córdoba,Poeta Lugones,,Abierto,Si,,,,,3 Dormitorios,,,,,,135000
3299,Casa,,Córdoba,Alta Córdoba,,Abierto,Si,,,,,3 Dormitorios,,,,,,60000
3300,Casa,,Córdoba,Los Platanos,miguel angel carcano 1382,,Si,,Terminada,50 años,1 Planta,3 Dormitorios,2 Baños,1,,300,170,85000
3301,Casa,Sur,Córdoba,Maipu Sección 2,ESPOSOS CURIE 2100,Abierto,Si,,,,,3 Dormitorios,1 Baño,1,,250,120,80000
