,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
965,Casa,,Villa Allende,Lomas Sur,Cuzco 600,,,,,,2,3,3,2,,1.300,200,220000
966,,,Pdo. de San Javier,Villa Dolores,Av. España 200 ,,,,,50,2,3,2,1,,,,70000
967,Casa,,Pdo. de Colon,La Calera,,,,,,,,3,3,,,900,300,
968,Casa,,Pdo. de Punilla,Villa Carlos Paz,Florida 100,,,,,,1,3,1,,,800,110,240000
969,Casa,,Córdoba,Cofico,Lavalleja 1000,,,,,70,2,3,3,1,,189,212,135000
970,Casa,,Córdoba,Santa Cecilia,Quiroga Sarmiento 4300,,,,,45,1,3,1,2,,300,157,125000
971,Casa,,Countries y Barrios Cerrados Cordoba Capital,Chacra del Norte,Chacra Del Norte 100,,,,,,2,3,1,2,,180,180,210000
972,Casa,,Córdoba,Marques De Sobremonte,Del Cabildo 3800,,,,,,,4,3,,,250,210,180000
973,Casa,,Villa Allende,Lomas Sur,Baltimore 700,,,,,20,1,3,3,4,,525,217,200000
974,Casa,,Villa Allende,Lomas Sur,Cuzco 600,,,,,,2,3,3,2,,1.300,200,220000
975,Casa,,Córdoba,Jardin,Federico Boungarthen 800,,,,,35,,6,3,,,375,275,190000
976,Casa,,Pdo. de Santa Maria,Malagueño,"Ruta C45, Country ""cañitas"" 100",,,,,,,3,3,,,800,250,250000
977,Casa,,Countries y Barrios Cerrados Cordoba Capital,Lomas de los Carolinos,"Los Carolinos,san Cayetano Y Punta Del Este 100",,,,,1,,3,2,,,330,130,148000
978,Casa,,Córdoba,Parque Velez Sarsfield,Jose Ramon Aguirre 2900,,,,,,1,4,3,3,,250,200,179000
979,Casa,,Villa Allende,Villa Allende Golf,Mendoza 800,,,,,5,,3,2,,,1.250,253,290000
980,Casa,,Córdoba,Alta Cordoba,F. Quevedo 600,,,,,10,1,3,,2,,400,290,260000
981,Casa,,Pdo. de San Justo,San Francisco,Libertad 800,,,,,,,2,2,,,125,125,
982,Casa,,Córdoba,Cofico,General Bustos 800,,,,,,1,2,1,1,,140,117,115000
983,Casa,,Pdo. de Punilla,Capilla Del Monte,Ruta 38 100,,,,,,2,4,3,2,,450.000,410,580000
984,Casa,,Córdoba,Alta Cordoba,Quevedo 300,,,,,50,1,3,2,,,242,138,90000
985,,,Countries y Barrios Cerrados Cordoba Capital,Claros del Bosque,celso barrios al 3600 ,,,,,,2,3,1,1,,200,132,160000
986,Casa,,Pdo. de Santa Maria,Potrero De Garay,,,,,,,2,3,2,3,,5.200,200,190000
987,Casa,,Córdoba,Centro,Benjamin Victorica 4600,,,,,12,1,4,3,4,,420,174,84999
